seed,method,agree_own_clean,agree_zhat_clean,ref_agree_zhat
23,median,0.8592592592592593,0.7925925925925926,0.94
23,adapt,1.0,0.8518518518518519,0.8666666666666667
23,TA-rw(0.25),1.0,0.8518518518518519,0.8666666666666667
23,TA50(a=0.05),0.5185185185185185,0.6,0.9266666666666666
23,TA50(a=0.10),0.8592592592592593,1.0,0.8733333333333333
23,TA50(a=0.25),0.9925925925925926,0.8444444444444444,0.8666666666666667
23,bestB-trim(a=0.10),0.8296296296296296,0.9555555555555556,0.8733333333333333
24,HA50,0.6296296296296297,0.6296296296296297,1.0
24,emEM10,0.9407407407407408,0.7407407407407407,0.7933333333333333
24,vote,0.9185185185185185,0.8666666666666667,0.9133333333333333
24,median,0.8814814814814815,0.8222222222222222,0.94
24,adapt,1.0,0.8666666666666667,0.8666666666666667
24,TA-rw(0.25),1.0,0.8666666666666667,0.8666666666666667
24,TA50(a=0.05),0.5481481481481482,0.6296296296296297,0.9266666666666666
24,TA50(a=0.10),0.8962962962962963,0.9777777777777777,0.8733333333333333
24,TA50(a=0.25),0.9925925925925926,0.8592592592592593,0.8666666666666667
24,bestB-trim(a=0.10),0.8962962962962963,0.9777777777777777,0.8733333333333333
25,HA50,0.562962962962963,0.562962962962963,1.0
25,emEM10,0.9407407407407408,0.725925925925926,0.7933333333333333
25,vote,0.9185185185185185,0.8666666666666667,0.9133333333333333
25,median,0.8962962962962963,0.837037037037037,0.94
25,adapt,1.0,0.8666666666666667,0.8666666666666667
25,TA-rw(0.25),0.9925925925925926,0.8740740740740741,0.8666666666666667
25,TA50(a=0.05),0.5259259259259259,0.6074074074074074,0.9266666666666666
25,TA50(a=0.10),0.8740740740740741,1.0,0.8733333333333333
25,TA50(a=0.25),0.9851851851851852,0.8666666666666667,0.8666666666666667
25,bestB-trim(a=0.10),0.8740740740740741,1.0,0.8733333333333333
26,HA50,0.6074074074074074,0.6074074074074074,1.0
26,emEM10,0.9407407407407408,0.725925925925926,0.7933333333333333
26,vote,0.9259259259259259,0.8814814814814815,0.9133333333333333
26,median,0.8962962962962963,0.837037037037037,0.94
26,adapt,0.9925925925925926,0.8592592592592593,0.8666666666666667
26,TA-rw(0.25),0.9925925925925926,0.8592592592592593,0.8666666666666667
26,TA50(a=0.05),0.5333333333333333,0.6,0.9266666666666666
26,TA50(a=0.10),0.8962962962962963,0.9777777777777777,0.8733333333333333
26,TA50(a=0.25),0.9925925925925926,0.8592592592592593,0.8666666666666667
26,bestB-trim(a=0.10),0.8962962962962963,0.9777777777777777,0.8733333333333333
27,HA50,0.6074074074074074,0.6074074074074074,1.0
