part,cell,K,n,eps,m,rep,method,n_out,acc_clean,ari_clean,perr,alpha_hat,time,p_clean_sub
a,K2-cross,2,300,0.05,8,187,bestB-trim(0.25),17,0.8798586572438163,0.5756722182006275,0.1975128429891549,,0.0321395630016922,0.6634204312890623
a,K2-cross,2,300,0.1,8,10,HA50,38,0.5152671755725191,0.0,23.51838976331819,,0.0160977821797132,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,emEM10,38,0.5152671755725191,0.0,3.897396666284787,,0.007901705102995,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,vote,38,0.9236641221374046,0.7168821866291705,1.6991668062595338,,0.0486037579830735,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,median,38,0.8778625954198473,0.5694737383451849,1.5305970594612308,,0.0464525730349123,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,adapt,38,0.9122137404580152,0.67844988139597,0.1226333865508878,0.1266666666666666,0.0496570318937301,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,adapt-sel,38,0.9122137404580152,0.67844988139597,0.126813018935971,0.1266666666666666,0.0464921141974628,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,adapt-lam0,38,0.9122137404580152,0.67844988139597,0.1226333865508878,0.1266666666666666,0.0482944240793585,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,adapt-1st,38,0.9122137404580152,0.67844988139597,0.126813018935971,0.1266666666666666,0.0408206479623913,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,TA-rw(oracle),38,0.9122137404580152,0.67844988139597,0.1226333865508878,0.1266666666666666,0.0512856571003794,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,TA-rw(0.25),38,0.9122137404580152,0.67844988139597,0.1191237099019168,0.1266666666666666,0.0522471962030977,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,TA-rw(0.40),38,0.916030534351145,0.6911435758506782,0.138366033678521,0.1266666666666666,0.0505980439484119,0.4304672100000001
a,K2-cross,2,300,0.1,8,10,bestB-trim(0.25),38,0.9198473282442748,0.7039539475613978,0.159737643665122,,0.0346652870066463,0.4304672100000001
a,K2-cross-unequal,2,300,0.0,10,8,HA50,0,0.89,0.5955541455764173,0.1806758335554653,,0.0102645880542695,1.0
a,K2-cross-unequal,2,300,0.0,10,8,emEM10,0,0.9266666666666666,0.7106431766513371,0.1009464044559276,,0.0075843250378966,1.0
a,K2-cross-unequal,2,300,0.0,10,8,vote,0,0.9066666666666666,0.6467172413343731,0.1617433313311131,,0.044535829918459,1.0
a,K2-cross-unequal,2,300,0.0,10,8,median,0,0.8933333333333333,0.6059140603647699,0.1899858579103422,,0.0432415679097175,1.0
a,K2-cross-unequal,2,300,0.0,10,8,adapt,0,0.89,0.5955541455764173,0.1089470475019751,0.0133333333333333,0.0495384221430867,1.0
a,K2-cross-unequal,2,300,0.0,10,8,adapt-sel,0,0.89,0.5955541455764173,0.1089470475019751,0.0133333333333333,0.0488449998665601,1.0
a,K2-cross-unequal,2,300,0.0,10,8,adapt-lam0,0,0.5533333333333333,0.0019892941358351,2.546213329653372,0.0133333333333333,0.0508184940554201,1.0
a,K2-cross-unequal,2,300,0.0,10,8,adapt-1st,0,0.89,0.5955541455764173,0.1089470475019751,0.0133333333333333,0.0368379119317978,1.0
a,K2-cross-unequal,2,300,0.0,10,8,TA-rw(oracle),0,0.89,0.5955541455764173,0.1089470475019751,0.0133333333333333,0.051792592043057,1.0
a,K2-cross-unequal,2,300,0.0,10,8,TA-rw(0.25),0,0.5266666666666666,-0.0005464644107006,2.832597989003348,0.1733333333333333,0.0528113811742514,1.0
a,K2-cross-unequal,2,300,0.0,10,8,TA-rw(0.40),0,0.53,-0.0008609282799477,3.004987657488044,0.1733333333333333,0.0520776829216629,1.0
a,K2-cross-unequal,2,300,0.0,10,8,bestB-trim(0.25),0,0.5366666666666666,0.0003652831539324,2.8704112596390194,,0.0295545218978077,1.0
a,K2-cross-leverage,2,300,0.3,8,72,HA50,94,0.5388349514563107,0.0011780892358858,2.510995675089116,,0.0104428948834538,0.0576480099999999
